Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
115,Eddie Royal,CHI,WR,9,480,53.3,44.2,0.2,10.4,7.9,10.6,29.7,6.2
116,Roddy White,ATL,WR,16,935,58.4,82.1,0,7.5,4.6,7.5,56.6,6.1
117,Quincy Enunwa,NYJ,WR,12,524,43.7,62,0,8.8,4.2,8.8,31.5,6
117,Taylor Gabriel,CLE,WR,13,401,30.8,36.2,0,12,7,12,24.1,6
119,Kenbrell Thompkins,NYJ,WR,7,281,40.1,36.9,0,11.7,6,11.7,16.5,5.9
120,Justin Hardy,ATL,WR,9,336,37.3,29.5,0,10.7,6.2,10.7,19.4,5.8
120,Darius Jennings,CLE,WR,4,203,50.8,69.5,0,10.3,6.9,10.3,11.7,5.8
122,Jordan Norwood,DEN,WR,11,379,34.5,34.1,0,8.4,5.8,8.4,20.7,5.5
123,Marc Mariani,CHI,WR,16,520,32.5,47.9,0.2,6.3,4.4,6.5,27.7,5.3
123,Preston Parker,NYG,WR,2,81,40.5,60.9,0,14.8,6.2,14.8,4.3,5.3
125,Andre Roberts,WAS,WR,9,260,28.9,27.9,0,8.5,4.2,8.5,13.5,5.2
126,Donteea Dye,TB,WR,10,384,38.4,47.1,0,7.8,2.9,7.8,19.2,5
126,Devin Smith,NYJ,WR,10,313,31.3,34.2,0,8.9,2.9,8.9,15.5,5
128,Nelson Agholor,PHI,WR,13,671,51.6,57.9,0,6.6,3.4,6.6,32.3,4.8
129,Terrelle Pryor,CLE,WR,3,91,30.3,26.2,1.1,8.8,2.2,9.9,4.1,4.5
130,Keith Mumphery,HOU,WR,16,321,20.1,27,0,10,4.4,10,12.9,4
131,Jason Avant,KC,WR,16,345,21.6,34.4,0,7,4.3,7,11.9,3.4
132,Hakeem Nicks,NYG,WR,6,177,29.5,42.1,0,7.9,4,7.9,5.4,3.1
133,Brian Quick,LAR,WR,13,351,27,36.5,0,9.1,2.8,9.1,10.2,2.9
134,Marlon Brown,BAL,WR,10,405,40.5,38.4,0,7.4,3.5,7.4,11.2,2.8
135,Kevin Smith,SEA,WR,7,189,27,38.4,0,2.6,1.6,2.6,4.3,2.3
