,Name,Unnamed: 0,20 Yard Shuttle,40 Yard Dash,60 Yard Shuttle,Arm Length,Bench Press,Broad Jump,College,Grade,Hands,Height,Position,Three Cone Drill,Vertical Jump,Weight,Wonderlic,Year,SnapsPlayed_y
64,Antonio Allen,949,4.25,4.67,,0.0,17.0,118.0,South Carolina,0.0,0.0,73.0,SS,7.02,34.0,210,0.0,2012,1047
65,Antonio Andrews,327,4.49,4.82,,0.0,20.0,106.0,Western Kentucky,5.2,0.0,70.0,RB,7.24,29.5,225,0.0,2014,422
66,Antonio Brown,1587,4.18,4.56,,31.0,13.0,105.0,Central Michigan,0.0,9.0,70.0,WR,6.98,33.5,186,0.0,2010,5939
67,Antonio Cromartie,2720,0.0,4.47,,0.0,18.0,132.0,Florida State,0.0,0.0,74.0,CB,0.0,38.0,208,0.0,2006,4194
68,Antonio Morrison,225,,,,30.375,,,Florida,5.37,9.0,73.0,ILB,,,232,,2016,1145
69,Antrel Rolle,3186,0.0,4.5,,0.0,15.0,0.0,Miami (FL),0.0,0.0,72.0,CB,0.0,0.0,198,0.0,2005,3579
70,Antwan Barnes,2423,4.32,4.43,,0.0,31.0,122.0,Florida International,0.0,0.0,73.0,DE,0.0,35.0,240,0.0,2007,146
71,Aqib Talib,2375,4.25,4.44,,0.0,10.0,131.0,Kansas,0.0,0.0,73.0,CB,0.0,38.0,202,0.0,2008,5084
72,Arian Foster,1934,0.0,4.68,,0.0,23.0,0.0,,0.0,0.0,73.0,RB,0.0,0.0,226,0.0,2009,2053
73,Armon Binns,1278,4.31,4.5,,32.5,13.0,118.0,,0.0,9.5,75.0,WR,6.86,31.5,209,0.0,2011,396
74,Artie Burns,265,,4.46,,33.25,,,Miami,5.77,9.5,72.0,CB,,31.5,193,,2016,2081
75,Asa Jackson,1076,4.03,4.49,,0.0,19.0,118.0,,0.0,0.0,70.0,CB,6.97,34.0,191,0.0,2012,416
76,Asante Samuel,3705,4.14,4.49,,0.0,9.0,120.0,UCF,0.0,0.0,71.0,CB,0.0,35.5,185,0.0,2003,1310
77,Atari Bigby,2978,4.11,4.65,,0.0,19.0,0.0,,0.0,0.0,71.0,SS,0.0,35.0,214,0.0,2005,615
