,Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
126,127,Stevan Ridley,NYJ,RB,9,36,90,2.5,0,5,4,-2,0,0,0,1.0,8.8
127,128,Zurlon Tipton,IND,RB,10,5,20,4.0,0,8,5,57,0,0,0,0.8,7.7
128,129,Zach Zenner,DET,RB,6,17,60,3.5,0,3,2,11,0,0,0,1.2,7.1
129,130,Toby Gerhart,JAX,RB,7,20,44,2.2,0,5,3,23,0,0,0,1.0,6.7
130,131,Stepfan Taylor,ARI,RB,16,17,58,3.4,0,3,1,4,0,0,0,0.4,6.2
131,131,Fitzgerald Toussaint,PIT,RB,5,18,42,2.3,0,0,0,0,0,0,0,1.2,6.2
132,133,Jarryd Hayne,SF,RB,8,17,52,3.1,0,7,6,27,0,3,1,0.7,5.9
133,134,Tommy Bohanon,NYJ,FB,16,2,2,1.0,0,8,4,56,0,0,0,0.4,5.8
134,135,Josh Robinson,IND,RB,5,17,39,2.3,0,7,6,33,0,1,1,1.0,5.2
135,136,Jacquizz Rodgers,CHI,RB,5,14,41,2.9,0,3,1,10,0,0,0,1.0,5.1
136,136,Joey Iosefa,NE,RB,2,15,51,3.4,0,0,0,0,0,0,0,2.6,5.1
137,138,Reggie Bush,SF,RB,5,8,28,3.5,0,10,4,19,0,0,0,0.9,4.7
138,139,Anthony Sherman,KC,FB,16,1,0,0.0,0,5,4,34,0,0,0,0.2,3.4
139,140,Jay Prosch,HOU,FB,16,6,33,5.5,0,1,0,0,0,0,0,0.2,3.3
140,141,Derrick Coleman,SEA,FB,14,8,32,4.0,0,1,1,0,0,0,0,0.2,3.2
141,141,Darrel Young,WAS,FB,16,6,10,1.7,0,6,6,22,0,1,0,0.2,3.2
142,143,Nick Bellore,SF,RB,16,0,0,0.0,0,0,0,0,0,0,0,0.2,3.0
143,144,Jordan Todman,PIT,RB,11,4,22,5.5,0,2,0,0,0,0,0,0.2,2.2
144,145,John Crockett,GB,RB,2,9,21,2.3,0,0,0,0,0,0,0,1.0,2.1
145,146,Tyler Varga,IND,RB,3,1,2,2.0,0,2,1,18,0,0,0,0.7,2.0
146,147,Alonzo Harris,GB,RB,6,4,19,4.8,0,1,0,0,0,0,0,0.3,1.9
147,148,Aaron Ripkowski,GB,FB,15,0,0,0.0,0,1,1,18,0,0,0,0.1,1.8
148,148,Bernard Pierce,JAX,RB,7,6,11,1.8,0,5,3,7,0,0,0,0.3,1.8
149,150,Roosevelt Nix,PIT,RB,15,0,0,0.0,0,3,2,16,0,0,0,0.1,1.6
150,151,Malcolm Johnson,CLE,FB,12,0,0,0.0,0,6,4,15,0,0,0,0.1,1.5
151,151,Malcolm Brown,LAR,RB,1,4,17,4.2,0,1,1,-2,0,0,0,1.5,1.5
152,153,Jerome Felton,BUF,FB,16,1,2,2.0,0,2,1,12,0,0,0,0.1,1.4
153,153,Bobby Rainey,TB,RB,16,5,18,3.6,0,3,3,16,0,8,1,0.1,1.4
154,155,Jorvorskie Lane,TB,FB,16,1,0,0.0,0,2,2,13,0,0,0,0.1,1.3
155,156,Trey Williams,IND,RB,2,2,12,6.0,0,0,0,0,0,0,0,0.6,1.2
156,157,Antone Smith,CHI,RB,5,1,11,11.0,0,0,0,0,0,0,0,0.2,1.1
157,157,Rod Smith,DAL,RB,11,2,5,2.5,0,2,1,6,0,0,0,0.1,1.1
158,159,Terrence Magee,BAL,RB,4,2,5,2.5,0,1,1,2,0,0,0,0.2,0.7
159,160,Tyler Clutts,DAL,FB,16,0,0,0.0,0,1,1,4,0,0,0,0.0,0.4
160,161,Kendall Hunter,NO,RB,2,1,2,2.0,0,0,0,0,0,0,0,0.1,0.2
161,162,George Winn,DET,RB,7,4,1,0.2,0,0,0,0,0,0,0,0.0,0.1
162,163,Richie Brockel,CAR,FB,2,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
163,163,Brandon Wegher,CAR,RB,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
164,163,Cedric Peerman,CIN,RB,16,0,0,0.0,0,0,0,0,0,1,0,0.0,0.0
165,163,Keith Smith,DAL,FB,5,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
166,163,Kapri Bibbs,DEN,RB,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
167,163,Joe Banyard,JAX,RB,5,0,0,0.0,0,0,0,0,0,1,0,0.0,0.0
168,163,Chase Reynolds,LAR,RB,12,0,0,0.0,0,0,0,0,0,1,0,0.0,0.0
169,163,Trey Watts,LAR,RB,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
170,163,LaMichael James,MIA,RB,1,0,0,0.0,0,0,0,0,0,1,0,0.0,0.0
171,163,Toben Opurum,NO,FB,2,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
172,163,Nikita Whitlock,NYG,RB,14,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
173,163,Dri Archer,PIT,RB,8,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
174,163,Dreamius Smith,LAC,RB,2,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
175,176,Cierre Wood,BUF,RB,2,2,3,1.5,0,1,1,-6,0,0,0,-0.2,-0.3
176,177,Corey Grant,JAX,RB,6,6,2,0.3,0,3,2,13,0,1,1,-0.1,-0.5
177,178,Isaiah Pead,PIT,RB,2,2,3,1.5,0,0,0,0,0,1,1,-0.8,-1.7
178,179,Raheem Mostert,CLE,RB,11,0,0,0.0,0,0,0,0,0,2,1,-0.2,-2.0
179,179,Marcus Murphy,NO,RB,13,1,0,0.0,0,0,0,0,0,3,1,-0.2,-2.0
180,181,Glenn Winston,CLE,RB,3,1,-8,-8.0,0,0,0,0,0,1,1,-0.9,-2.8
181,182,Marcus Thigpen,BUF,RB,9,1,-1,-1.0,0,0,0,0,0,3,2,-0.5,-4.1
0,1,David Johnson,ARI,RB,16,293,1239,4.2,16,120,80,879,4,5,3,20.5,327.8
1,2,Ezekiel Elliott,DAL,RB,15,322,1631,5.1,15,40,32,363,1,5,1,19.6,293.4
2,3,LeSean McCoy,BUF,RB,15,234,1267,5.4,13,58,51,356,1,3,0,16.6,248.3
3,4,Le'Veon Bell,PIT,RB,12,261,1268,4.9,7,94,75,616,2,4,1,20.2,242.4
4,5,DeMarco Murray,TEN,RB,16,293,1287,4.4,9,67,53,377,3,3,1,15.0,240.8
5,6,Devonta Freeman,ATL,RB,16,227,1079,4.8,11,65,54,462,2,1,1,14.4,230.1
6,7,LeGarrette Blount,NE,RB,16,299,1161,3.9,18,8,7,38,0,2,1,14.1,225.9
7,8,Melvin Gordon,LAC,RB,13,254,997,3.9,10,57,41,419,2,2,2,16.1,209.6
8,9,Jordan Howard,CHI,RB,15,252,1313,5.2,6,50,29,298,1,2,1,13.4,201.1
9,10,Mark Ingram,NO,RB,16,205,1043,5.1,6,58,46,319,4,2,2,12.3,196.2
10,11,Jay Ajayi,MIA,RB,15,260,1272,4.9,8,35,27,151,0,4,1,12.6,188.3
11,12,Frank Gore,IND,RB,16,263,1026,3.9,4,47,38,277,4,2,1,11.0,176.3
12,13,Latavius Murray,OAK,RB,14,195,788,4.0,12,43,33,264,0,2,1,12.5,175.2
13,14,Isaiah Crowell,CLE,RB,16,198,952,4.8,7,53,40,319,0,2,2,10.3,165.1
14,14,Carlos Hyde,SF,RB,13,217,988,4.6,6,33,27,163,3,5,3,12.7,165.1
15,16,Spencer Ware,KC,RB,14,214,922,4.3,3,42,33,447,2,4,3,11.5,160.9
16,17,Lamar Miller,HOU,RB,14,268,1073,4.0,5,39,31,188,1,2,1,11.4,160.1
17,17,Tevin Coleman,ATL,RB,13,118,520,4.4,8,40,31,421,3,1,0,12.3,160.1
18,19,Jeremy Hill,CIN,RB,15,222,839,3.8,9,27,21,174,0,0,0,10.4,155.3
19,20,Todd Gurley,LAR,RB,16,278,885,3.2,6,58,43,327,0,2,1,9.7,155.2
