Name,Played,RushingAttempts,RushingYards,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost, RushingYardsPerAttempt 
Kenneth Farrow,13,60,192,0,16,13,70,0,2,1, 3.20 
Kenyan Drake,32,166,823,5,58,41,285,1,3,2, 5.10 
Kerwynn Williams,37,218,971,4,25,15,126,0,3,1, 4.44 
Kevin Smith,12,37,134,1,16,10,79,1,0,0, 3.60 
Khiry Robinson,29,194,788,8,31,25,178,0,3,3, 3.72 
Kiero Small,3,0,0,0,0,0,0,0,0,0, -   
Knile Davis,57,250,805,11,50,34,271,1,7,3, 2.80 
Knowshon Moreno,27,410,1711,15,101,82,723,3,2,1, 4.30 
Kregg Lumpkin,5,9,42,0,2,0,0,0,1,1, 4.70 
Kyle Juszczyk,78,14,56,1,175,130,1084,6,4,4, 2.06 
LaMichael James,18,44,193,0,9,5,45,0,4,0, 2.83 
LaRod Stephens-Howling,15,116,375,4,33,19,117,0,0,0, 3.20 
Lamar Miller,91,1144,4891,27,237,184,1402,7,8,6, 4.37 
Lance Ball,15,42,158,1,11,7,61,1,1,1, 3.80 
Lance Dunbar,58,105,473,2,91,69,647,0,3,1, 5.57 
Latavius Murray,61,759,3120,28,136,106,742,0,8,2, 4.27 
Lawrence Thomas,17,2,1,0,7,6,43,0,0,0, 0.25 
Lawrence Vickers,16,3,11,0,15,13,104,0,0,0, 3.70 
Le'Veon Bell,62,1229,5336,35,397,312,2660,7,8,4, 4.40 
LeGarrette Blount,89,956,4100,40,42,34,225,2,8,5, 4.28 
LeRon McClain,32,25,74,0,13,10,22,0,0,0, 2.95 
LeSean McCoy,87,1553,7066,38,354,277,2163,10,17,10, 4.55 
Leon Washington,39,37,141,1,40,26,190,2,6,2, 3.00 
Leonard Fournette,13,268,1040,9,48,36,302,1,2,0, 3.90 
Leshun Daniels Jr.,4,3,14,0,0,0,0,0,0,0, 4.70 
Lex Hilliard,14,9,33,0,9,4,23,0,0,0, 3.70 
Lorenzo Taliaferro,19,82,339,5,18,16,153,0,1,1, 2.63 
Lousaka Polite,6,0,0,0,7,1,8,0,0,0, -   
Mack Brown,13,16,111,1,2,2,9,0,0,0, 6.90 
Malcolm Brown,28,85,302,1,15,13,97,0,2,1, 3.43 
Malcolm Johnson,19,1,2,0,13,9,59,0,1,1, 1.00 
Marcel Reece,66,138,610,2,228,156,1433,7,3,1, 3.38 
Marcus Murphy,17,8,41,0,3,3,10,0,3,1, 1.97 
Marcus Thigpen,50,8,25,0,14,9,112,1,9,4, 2.50 
Marion Grice,10,15,41,1,11,7,29,0,0,0, 2.70 
Mark Ingram,84,1061,4888,39,246,196,1382,4,11,7, 4.62 
Marlon Mack,14,93,358,3,33,21,225,1,1,0, 3.80 
Marquez Williams,1,0,0,0,1,0,0,0,0,0, -   
Marshawn Lynch,70,1214,5461,46,174,129,1110,7,13,6, 4.40 
Matt Asiata,74,361,1259,18,132,101,722,1,3,3, 3.50 
Matt Breida,16,105,465,2,36,21,180,1,1,0, 4.40 
Matt Dayes,16,5,13,0,5,4,29,0,0,0, 2.60 
Matt Forte,86,1341,5565,33,431,332,2685,13,10,8, 4.08 
Matt Jones,25,248,964,6,33,27,377,1,8,6, 3.60 
Matthew Tucker,2,0,0,0,0,0,0,0,0,0, -   
Maurice Jones-Drew,33,363,1313,6,94,68,471,1,4,1, 3.47 
Melvin Gordon,43,722,2743,18,177,132,1087,6,9,6, 3.77 
Mewelde Moore,9,13,20,0,8,6,77,1,1,1, 1.50 
Michael Burton,47,8,11,0,11,8,47,1,0,0, 0.90 
Michael Bush,28,177,608,8,19,13,131,1,1,1, 3.35 
Michael Cox,18,26,76,0,6,5,21,0,0,0, 5.10 
Michael Ford,12,0,0,0,0,0,0,0,0,0, -   
Michael Hill,8,9,23,0,2,2,23,0,0,0, 2.60 
Michael Robinson,25,13,49,0,18,15,153,2,0,0, 2.05 
Michael Smith,1,0,0,0,0,0,0,0,0,0, -   
Michael Turner,16,222,800,10,30,19,128,1,3,1, 3.60 
Mike Cox,8,0,0,0,3,3,22,0,0,0, -   
Mike Davis,20,122,348,1,36,25,194,0,1,1, 2.60 
Mike Gillislee,32,258,1247,16,19,16,94,1,3,2, 4.65 
Mike Goodson,14,42,282,0,19,18,214,1,0,0, 7.50 
Mike James,24,83,351,0,16,15,60,0,0,0, 3.87 
Mike Tolbert,84,355,1239,14,144,108,849,6,2,1, 3.37 
Mikel Leshoure,17,217,807,9,48,34,214,0,3,3, 4.10 
Montario Hardesty,13,65,271,1,5,2,16,0,2,0, 4.20 
Montee Ball,21,175,733,5,40,29,207,0,4,4, 3.90 
Montell Owens,20,42,209,1,10,8,113,0,0,0, 1.67 
Nate Eachus,11,5,18,0,3,1,19,0,0,0, 3.60 
Nick Bellore,91,0,0,0,2,2,24,1,1,0, -   
Nikita Whitlock,14,0,0,0,0,0,0,0,0,0, -   
Orleans Darkwa,52,246,1038,9,44,29,207,0,1,0, 3.73 
Owen Marecic,10,0,0,0,5,0,0,0,0,0, -   
Owen Schmitt,13,2,1,0,0,0,0,0,0,0, 0.50 
Patrick DiMarco,83,3,-2,0,62,44,301,4,0,0, (0.17)
Patrick Ricard,16,0,0,0,4,4,12,2,0,0, -   
Paul Lasike,10,3,8,0,1,1,3,0,0,0, 2.70 
Paul Perkins,25,153,546,0,34,23,208,0,1,0, 3.15 
Peyton Barber,31,163,646,4,25,21,142,0,2,1, 4.00 
Peyton Hillis,29,184,671,3,51,33,245,0,4,3, 3.80 
Phillip Tanner,32,34,73,1,9,7,74,0,1,0, 1.23 
Pierre Thomas,47,312,1308,5,203,170,1329,5,2,1, 4.35 
Quinn Johnson,20,4,5,0,9,5,40,0,0,0, 0.60 
Raheem Mostert,25,7,36,0,0,0,0,0,3,2, 3.67 
Rashad Jennings,65,807,3111,18,196,149,1145,2,8,4, 3.76 
Rashard Mendenhall,21,268,869,8,32,27,196,1,7,4, 3.40 
Ray Agnew,12,2,2,0,9,3,15,0,0,0, 1.00 
Ray Graham,1,4,8,0,3,1,12,0,0,0, 2.00 
Ray Rice,31,471,1803,13,156,119,799,1,3,2, 3.75 
Reagan Maui'a,3,0,0,0,1,1,7,0,0,0, -   
Reggie Bush,59,546,2314,13,207,140,1160,5,10,6, 3.20 
Rex Burkhead,52,151,639,8,81,64,542,4,3,2, 2.54 
Richard Murphy,5,23,92,0,1,0,0,0,0,0, 4.00 
Richie Brockel,38,1,1,0,2,1,12,0,1,1, 0.25 
Rob Kelley,22,230,898,9,25,16,100,1,0,0, 3.65 
Robert Hughes,22,8,16,0,15,10,149,0,0,0, 2.20 
Robert Turbin,79,351,1344,9,111,85,685,3,2,2, 3.63 
Rod Smith,33,57,237,4,26,21,212,1,0,0, 2.23 
Ronnie Brown,40,111,440,1,76,62,475,0,0,0, 3.83 
Ronnie Hillman,56,494,1976,12,110,74,524,1,8,3, 3.88 
Ronnie Wingo,2,1,4,0,1,1,2,0,0,0, 4.00 
Roosevelt Nix,41,3,0,1,8,6,27,1,0,0, -   
Roy Helu,42,121,531,5,112,89,848,3,4,1, 3.28 
Russell Hansbrough,2,0,0,0,0,0,0,0,0,0, -   
Ryan Grant,5,32,132,2,2,1,34,0,1,1, 4.10 
Ryan Mathews,60,804,3492,24,143,107,771,3,12,8, 4.42 
Ryan Torain,2,0,0,0,0,0,0,0,0,0, -   
Ryan Williams,5,58,164,0,10,7,44,0,2,2, 2.80 
Samaje Perine,16,175,603,1,24,22,182,1,2,2, 3.40 
Senorise Perry,32,8,30,0,2,2,2,0,0,0, 1.90 
Shane Smith,11,0,0,0,0,0,0,0,0,0, -   
Shane Vereen,74,341,1432,7,313,222,1864,11,5,3, 4.25 
Shaun Draughn,56,225,723,7,104,80,597,2,5,2, 2.48 
Shonn Greene,40,447,1750,14,41,26,203,0,5,2, 3.97 
Silas Redd,15,16,75,1,10,8,107,0,1,0, 4.70 
Spencer Larsen,13,0,0,0,0,0,0,0,0,0, -   
Spencer Ware,27,289,1335,9,48,39,452,2,5,3, 4.40 
Stanley Havili,28,13,29,1,33,25,171,1,0,0, 2.35 
Stepfan Taylor,61,120,393,1,27,20,154,3,0,0, 3.23 
Stevan Ridley,48,627,2581,22,36,24,131,0,8,6, 3.55 
Steven Jackson,45,624,2341,17,130,92,680,1,0,0, 3.43 
Storm Johnson,6,29,86,2,1,1,-4,0,0,0, 3.00 
TJ Yeldon,37,361,1458,5,155,116,815,2,4,2, 4.30 
Taiwan Jones,65,28,110,0,20,16,226,1,6,2, 0.78 
Taniela Tupou,2,0,0,0,0,0,0,0,0,0, -   
Taquan Mizzell,3,0,0,0,0,0,0,0,0,0, -   
Tarik Cohen,16,87,370,2,71,53,353,1,3,2, 4.30 
Tashard Choice,27,93,363,1,18,9,24,0,0,0, 3.90 
Tauren Poole,1,1,0,0,0,0,0,0,1,1, -   
Terrance Ganaway,3,0,0,0,0,0,0,0,0,0, -   
Terrance West,43,465,1816,11,67,51,344,2,7,4, 3.78 
Terrell Watson,11,14,36,1,1,1,5,0,0,0, 2.35 
Terrence Magee,8,5,17,0,1,1,2,0,0,0, 2.17 
