Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
220,Clark Haggans,SF,LB,9,2,0,0,0,0,0,0,0,0,0,0,0.2,2
220,Sergio Kindle,BAL,LB,1,1,0,1,0,0,0,0,0,0,0,0,2,2
220,Brian Rolle,PHI,ILB,4,2,0,0,0,0,0,0,0,0,0,0,0.5,2
220,Austin Spitler,MIA,ILB,15,2,0,0,0,0,0,0,0,0,0,0,0.1,2
220,Justin Cole,LAR,ILB,16,2,0,0,0,0,0,0,0,0,0,0,0.1,2
220,Chris White,BUF,ILB,15,2,0,0,0,0,0,0,0,0,0,0,0.1,2
220,Carl Ihenacho,OAK,LB,3,1,0,1,0,0,0,0,0,0,0,0,0.7,2
220,Aaron Curry,OAK,OLB,2,1,0,1,0,0,0,0,0,0,0,0,1,2
220,Aaron Maybin,NYJ,OLB,8,1,0,0,0,0,1,0,0,0,0,0,0.2,2
229,Mike Rivera,NE,ILB,11,1,1,0,0,0,0,0,0,0,0,0,0.1,1.5
229,Kyle Wilber,DAL,OLB,10,1,1,0,0,0,0,0,0,0,0,0,0.2,1.5
229,Tank Carder,CLE,ILB,15,0,1,0,0,0,0,1,0,0,0,0,0.1,1.5
232,Gary Guyton,LAC,LB,1,1,0,0,0,0,0,0,0,0,0,0,1,1
232,Travis Lewis,DET,OLB,13,1,0,0,0,0,0,0,0,0,0,0,0.1,1
232,Tavares Gooden,SF,LB,15,1,0,0,0,0,0,0,0,0,0,0,0.1,1
232,Michael Wilhoite,SF,OLB,5,1,0,0,0,0,0,0,0,0,0,0,0.2,1
232,Larry Grant,SF,LB,16,1,0,0,0,0,0,0,0,0,0,0,0.1,1
232,Jeff Tarpinian,NE,ILB,3,1,0,0,0,0,0,0,0,0,0,0,0.3,1
232,Kaelin Burnett,OAK,OLB,6,1,0,0,0,0,0,0,0,0,0,0,0.2,1
239,Bobby Carpenter,NE,LB,4,0,1,0,0,0,0,0,0,0,0,0,0.1,0.5
239,Robert James,ATL,OLB,16,0,1,0,0,0,0,0,0,0,0,0,0,0.5
239,Brandon Johnson,PIT,LB,14,0,1,0,0,0,0,0,0,0,0,0,0,0.5
242,Mister Alexander,HOU,ILB,6,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Adrian Robinson,PIT,ILB,12,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Keenan Clayton,OAK,OLB,15,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Greg Lloyd,BUF,ILB,2,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Dontay Moch,CIN,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Xavier Adibi,TEN,LB,6,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Niko Koutouvides,NE,OLB,14,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Vic So'oto,WAS,OLB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Ryan Rau,PHI,ILB,4,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Kirk Morrison,BUF,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Jonas Mouton,LAC,ILB,3,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Jamari Lattimore,GB,OLB,14,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Dom DeCicco,CHI,ILB,4,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Rob Francois,GB,ILB,16,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Patrick Bailey,TEN,OLB,12,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Marcus Dowtin,NYJ,ILB,3,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Marshall McFadden,PIT,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Brandon Marshall,JAX,ILB,5,0,0,0,0,0,0,0,0,0,0,0,0,0
