Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,TackleSnapPercentage,SackSnapPercentage,QuarterbackHitSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
116,David Hawthorne,NO,OLB,11,320,29.1,28.1,11.9,0,0,35,10.9
119,Jameel McClain,BAL,ILB,13,737,56.7,71.1,10.7,0,0.1,79,10.7
119,Lamarr Woodley,PIT,OLB,13,624,48,63.3,6.1,0.6,1.3,66.6,10.7
119,Ernie Sims,DAL,OLB,10,365,36.5,53.5,12.1,0.3,0.5,39,10.7
119,Jon Beason,CAR,ILB,4,262,65.5,63.3,10.7,0,0.4,28,10.7
123,Dezman Moses,GB,OLB,16,436,27.2,40.1,6.2,0.9,1.4,46,10.6
124,Pat Angerer,IND,ILB,11,299,27.2,28.3,9.4,0,0.7,31.5,10.5
125,Rey Maualuga,CIN,ILB,16,1025,64.1,97,11.9,0.1,0.4,106,10.3
125,Whitney Mercilus,HOU,OLB,16,496,31,47.1,5,1.2,1,51.2,10.3
125,Bryan Thomas,NYJ,LB,12,372,31,37.8,6.5,0.7,1.1,38.5,10.3
128,Leroy Hill,SEA,LB,13,504,38.8,50.9,9.3,0.3,0.6,51.3,10.2
128,Rocky McIntosh,LAR,ILB,16,447,27.9,41.5,9.8,0.2,0.2,45.6,10.2
130,Jacquian Williams,NYG,OLB,10,286,28.6,27.4,10.5,0.3,0.3,28.1,9.8
131,Jermaine Cunningham,NE,OLB,12,439,36.6,53.7,5.5,0.6,1.4,42.1,9.6
132,Courtney Upshaw,BAL,OLB,16,746,46.6,65.7,8,0.2,0.4,70.5,9.5
133,Mark Barron,TB,ILB,16,1074,67.1,100,8.2,0,0,99.5,9.3
134,Mychal Kendricks,PHI,OLB,15,927,61.8,88.5,8.1,0.1,0.1,85,9.2
134,Erik Walden,GB,OLB,15,766,51.1,75,6,0.4,1.8,70.1,9.2
134,James-Michael Johnson,CLE,ILB,10,287,28.7,28.1,12.2,0,0,26.5,9.2
137,Terrell Suggs,BAL,OLB,8,407,50.9,59.9,5.4,0.5,1.2,37,9.1
138,Chris Clemons,MIA,ILB,16,1097,68.6,98.1,8.9,0,0,98.3,9
139,Jarret Johnson,LAC,OLB,15,513,34.2,48.5,7.8,0.3,0.6,45.5,8.9
140,Connor Barwin,HOU,OLB,16,998,62.4,94.8,4.4,0.3,1.7,86,8.6
141,Scott Shanle,NO,LB,7,219,31.3,19.3,9.6,0.2,0.5,18.7,8.5
142,Trent Cole,PHI,OLB,16,735,45.9,70.2,5.4,0.4,1.2,62,8.4
142,Pernell McPhee,BAL,OLB,12,423,35.2,37.2,5,0.4,1.9,35.7,8.4
144,Omar Gaither,OAK,ILB,7,144,20.6,32.7,9.7,0,0,12,8.3
145,Sam Acho,ARI,OLB,16,996,62.2,92.2,4.8,0.4,1.2,81.3,8.2
146,Mark Anderson,BUF,OLB,5,244,48.8,22.4,4.9,0.4,0.8,19.1,7.8
147,Calvin Pace,NYJ,OLB,16,1005,62.8,94.2,5.5,0.3,0.6,70.6,7
147,Shea McClellin,CHI,LB,14,365,26.1,35.2,3.8,0.7,1.6,25.6,7
149,Kamerion Wimbley,TEN,OLB,16,909,56.8,80.7,3.3,0.7,1,55.2,6.1
150,Joe Mays,DEN,ILB,6,293,48.8,66.3,6.8,0.2,0.3,15.4,5.3
151,Julian Stanford,JAX,ILB,16,350,21.9,30.7,6.6,0,0,16.5,4.7
152,Willie Young,DET,OLB,16,323,20.2,31.3,3.4,0,1.2,15,4.6
153,Gary Guyton,LAC,LB,1,23,23,11.4,4.3,0,0,1,4.3
154,Daryl Smith,JAX,OLB,8,203,25.4,35.7,3,0,0.5,6.5,3.2
