Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,TackleSnapPercentage,SackSnapPercentage,QuarterbackHitSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
153,Reggie Nelson,OAK,FS,16,1027,64.2,98.8,8.6,0,0,86.5,8.4
153,Tashaun Gipson,JAX,FS,16,1020,63.8,98.4,6.3,0,0,85.5,8.4
153,Desmond Trufant,ATL,CB,15,902,60.1,85.8,4.5,0.1,0.1,75.5,8.4
153,Darian Stewart,DEN,SS,16,891,55.7,90.5,7.1,0,0,74.5,8.4
153,Brent Grimes,TB,CB,13,850,65.4,79.8,5.8,0,0,71.5,8.4
153,Marlon Humphrey,BAL,CB,16,596,37.2,54.6,5.7,0,0,50,8.4
153,Kayvon Webster,LAR,CB,11,550,50,63.7,6.9,0,0,46,8.4
153,TJ McDonald,MIA,FS,8,547,68.4,51.9,8.2,0,0,46,8.4
153,Adrian Colbert,SF,FS,14,536,38.3,47.4,6.5,0,0,45,8.4
162,Robert Alford,ATL,CB,16,1043,65.2,99.2,6.4,0,0,86.5,8.3
162,Malcolm Butler,NE,CB,16,1040,65,97.9,5.8,0.1,0.2,86.5,8.3
162,Marcus Gilchrist,HOU,FS,16,817,51.1,82,6.9,0.1,0.1,68,8.3
162,Davon House,GB,CB,12,658,54.8,62.5,6.7,0.2,0.2,54.5,8.3
162,Cody Davis,LAR,FS,7,284,40.6,36.7,6.7,0,0.4,23.5,8.3
162,Darryl Morris,NYG,CB,5,115,23,19.2,9.6,0,0,9.5,8.3
168,Tony Jefferson,BAL,SS,16,1085,67.8,99.4,7.2,0.2,0.5,89,8.2
168,Montae Nicholson,WAS,SS,8,318,39.8,33.6,7.5,0,0,26,8.2
170,Casey Hayward,LAC,CB,16,1003,62.7,95.9,4,0,0,81.5,8.1
170,Josh Norman,WAS,CB,14,904,64.6,82.3,7.1,0,0,73.5,8.1
170,Bashaud Breeland,WAS,CB,15,856,57.1,77.9,5.6,0,0,69.5,8.1
170,Kam Chancellor,SEA,SS,9,598,66.4,67.7,8,0,0,48.5,8.1
174,Xavien Howard,MIA,CB,16,1024,64,97.2,4.7,0.1,0.1,82,8
174,George Iloka,CIN,SS,16,992,62,86.8,8,0,0,79,8
174,Rashard Robinson,NYJ,CB,14,501,35.8,43.3,5.8,0,0,40,8
174,Jimmie Ward,SF,CB,7,431,61.6,53.4,7.4,0,0,34.5,8
174,Kevin King,GB,CB,9,382,42.4,47.9,7.1,0,0,30.5,8
174,Mackensie Alexander,MIN,CB,14,323,23.1,32.5,5.3,0,0.3,26,8
174,David Amerson,OAK,CB,6,287,47.8,27.6,6.3,0,0,23,8
181,Stephon Gilmore,NE,CB,13,819,63,77.1,6.1,0,0,64.5,7.9
181,Dominique Rodgers-Cromartie,NYG,CB,15,607,40.5,55.1,7.9,0.1,0.3,48,7.9
183,Aaron Colvin,JAX,CB,16,705,44.1,68,6.4,0,0.1,55,7.8
183,Phillip Gaines,KC,CB,14,419,29.9,38,7.2,0,0,32.5,7.8
183,Malik Hooker,IND,FS,7,410,58.6,55.6,5.4,0,0,32,7.8
183,Quincy Wilson,IND,CB,7,402,57.4,37.3,5.5,0,0,31.5,7.8
187,Brandon Carr,BAL,CB,16,1024,64,93.8,5.5,0,0,79,7.7
187,Artie Burns,PIT,CB,16,976,61,99.3,5.5,0,0.1,75.5,7.7
187,Richard Sherman,SEA,CB,9,572,63.6,77.1,6.1,0,0,44,7.7
190,Darian Thompson,NYG,FS,16,1065,66.6,96.7,7,0,0.2,81,7.6
190,Mike Mitchell,PIT,SS,13,682,52.5,69.4,7.9,0,0.1,52,7.6
190,Maurice Alexander,LAR,SS,4,229,57.2,68.8,8.7,0,0.4,17.5,7.6
190,Gareon Conley,OAK,CB,2,92,46,13.1,7.6,0,0,7,7.6
194,Ron Parker,KC,SS,15,1034,68.9,93.7,6.4,0,0,78,7.5
